"intercept","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","n","model"
TRUE,1.00473578991688,0.451872804196859,0.75478042470829,0.155982215749293,0.11680756490982,0.0984689718105071,353,"cheng_hrt"
TRUE,1.0097806284588,0.450772165531284,0.772843609498257,0.159749264770242,0.150623124357692,0.113592459410504,320,"cheng_hrt_load"
TRUE,1.01661126978359,0.426941830737515,0.766636807345885,0.165091882032127,0.135412685131522,0.0849527971065343,314,"cheng_hrt_conc"
TRUE,0.947131890238003,0.547268470257745,0.733221413609767,0.0787671654180793,0.0765585220910283,0.0519088037518178,1002,"all_hrt"
