"","vec"
"845",32718.0773353233
"846",28419.6635047993
"847",30608.8193203704
"848",21973.0311581417
"849",29786.8893144925
"850",34143.2424073781
"851",30939.4275975979
"852",32275.2449048386
"853",36033.7672886235
"854",29165.6417014585
"855",29714.7435149941
"856",25721.5084129655
"857",32619.6214458643
"858",23738.068815131
"859",24842.6386787742
"860",29079.4474598723
"861",31118.6669201617
"862",37020.1197738957
"863",27331.1372206426
"864",23654.2877622555
"865",40009.2895331567
"866",19395.5824659082
"867",25396.5613361581
"868",22030.2768283514
"869",50236.0868842644
"870",35093.617433906
"871",46678.6581973199
"872",22309.9706436236
"873",38642.6718722613
"874",31696.9351905728
"875",40615.7269022571
"876",26268.5361109501
"877",51403.8188163897
"878",28591.6418256433
"879",38326.817110656
"880",36436.1932336657
"881",28862.9346186647
"882",26958.553862859
"883",20658.9951677154
"884",31575.1956935002
"885",33324.0635411488
"886",29742.2117039904
"887",20131.3751605497
"888",35684.356259767
"889",32411.9701359385
"890",31712.7118893872
"891",20765.4589800802
"892",27516.3815454147
"893",29414.006755928
"894",32158.6294617671
"895",23884.0606000031
"896",21884.749060548
"897",32368.4184056806
"898",28449.1533959528
"899",25988.762737845
"900",46531.2490499971
"901",32818.7207437725
"902",38082.0420528344
"903",25466.3860054026
"904",20985.7923903646
"905",24016.0442244988
"906",38486.764375859
"907",41396.1923750373
"908",26952.1283018482
"909",30116.5725364476
"910",30048.5100260337
"911",27486.0716836799
"912",26471.3612020862
"913",31734.9069211469
"914",32870.6074004557
"915",26148.6313393368
"916",27283.0479347973
"917",30497.7975172582
"918",31074.4296806972
"919",24939.7711765085
"920",36398.9037166662
"921",27569.075189004
"922",29838.837215463
"923",26188.5056685184
"924",27134.3022114937
"925",48425.1016383928
"926",19475.4718776482
"927",23828.1310409426
"928",38134.0409961927
"929",40799.1173292083
"930",51637.1901247932
"931",28753.6289830308
"932",35243.0024035532
"933",25231.7452733819
"934",25476.4445524793
"935",35973.8774022025
"936",40243.5278976629
"937",37341.0854955323
"938",22657.0991719489
"939",33879.2669651802
"940",34355.0387995357
"941",40692.4646403055
"942",33653.9903795645
"943",40007.2023619165
"944",31086.4812752845
"945",35950.3711795134
"946",29042.3180456608
"947",51763.5026173813
"948",28889.6629400414
"949",36449.5601440114
"950",24433.1303966439
"951",49767.473677378
"952",26200.6980670325
"953",35352.3591647437
"954",51080.308794266
"955",35534.5478835074
"956",28988.361841752
"957",26592.6248473018
"958",36237.7463568776
"959",40114.2397359758
"960",28010.9415370048
"961",21310.1512711861
"962",27266.2880358071
"963",33069.5528434207
"964",41105.5651923139
"965",19802.9750670256
"966",24506.1893307391
"967",30864.8485148908
"968",27501.4415294712
"969",30488.5477132554
"970",22272.3715033581
"971",24399.7273099896
"972",25034.4872485041
"973",30981.2878226258
"974",21379.8015388501
"975",22716.5985537888
"976",35467.1318960292
"977",25845.2604187328
"978",29546.2558710031
"979",32735.2577329789
"980",31531.9418501759
"981",28609.130959993
"982",39956.5006730354
"983",43596.7255027719
"984",32725.8804372396
"985",26213.7007699833
"986",30675.2208952738
"987",61097.6773127645
"988",28508.4160747561
"989",34260.1177902828
"990",23294.3819563749
"991",25947.0648500759
"992",34538.6012982781
"993",27063.6062645119
"994",22327.7600339669
"995",21934.3747156423
"996",32603.5386856229
"997",25289.8769943236
"998",34094.820211685
"999",32202.6264422622
"1000",28771.2556735905
"1001",38884.3293600664
"1002",33720.7932357571
"1003",25358.9514593729
"1004",26916.365262148
"1005",33684.5608684826
"1006",34472.9241232065
"1007",28110.6748160132
"1008",31523.5731434646
"1009",32591.0249980254
"1010",29196.7385073144
"1011",31110.5139140726
"1012",26149.0187641059
"1013",40503.090687087
"1014",20574.3119986617
"1015",29476.8576513342
"1016",22444.4475167142
"1017",31158.0024873925
"1018",31938.957630286
"1019",49271.676288987
"1020",26971.3338900988
"1021",36071.900334904
"1022",29726.3649388454
"1023",29709.7854101538
"1024",36105.533395755
"1025",26937.2708509817
"1026",32812.3711656849
"1027",22912.7059842092
"1028",24678.1161803814
"1029",29563.9677144774
"1030",31532.5750005556
"1031",27415.8241641968
"1032",28603.185083676
"1033",45591.7745978122
"1034",28339.5828624591
"1035",32105.3920793572
"1036",29675.761065561
"1037",31396.9627999922
"1038",27856.3562531816
"1039",30852.2017313393
"1040",17545.0222592351
"1041",32721.440805422
"1042",30025.5464088588
"1043",33634.6659626104
"1044",17444.7394835011
"1045",31687.8856430119
"1046",25635.4765406175
"1047",22793.205239223
"1048",30671.0869418455
"1049",27097.0104272519
"1050",35890.9610850519
"1051",29196.2369864964
"1052",23591.8971357662
"1053",33043.2998630952
"1054",55394.7035940687
"1055",27803.7519805841
"1056",31929.8353228622
"1057",30908.7468725021
"1058",25347.7876696696
"1059",30912.5401027174
"1060",46061.2678694656
"1061",23962.9253685524
"1062",22846.2746513092
"1063",29600.7452238801
"1064",29934.9698045341
"1065",26511.9819637371
"1066",18717.0762580068
"1067",20861.3861459978
"1068",32955.2395043026
"1069",39690.4423491818
"1070",25068.3533060873
"1071",39490.7628559534
"1072",27185.0473651746
"1073",33486.6281393989
"1074",30715.7346568517
"1075",31316.3774361818
"1076",29553.5105639364
"1077",29046.6370843415
"1078",30574.2120495696
"1079",34677.8302885796
"1080",32804.6809562126
"1081",25070.1025183114
"1082",25375.3152332568
"1083",21264.3272424858
"1084",29687.8217406421
"1085",32318.4227619481
"1086",31884.9670208504
"1087",22791.0816637228
"1088",29490.1427275433
"1089",23717.5901138607
"1090",43338.2430387104
"1091",47206.1105874442
"1092",33743.420529488
"1093",26133.3601925922
"1094",28227.3387562076
"1095",22461.0091607599
"1096",30713.8593778619
"1097",28779.5012472438
"1098",31590.8585941331
"1099",25089.9681737397
"1100",35045.5914683283
"1101",24647.9474495156
"1102",26605.902359164
"1103",29569.752092037
"1104",32545.0752761699
"1105",23205.9917351563
"1106",21644.1697714496
"1107",34064.9241979551
"1108",39673.381506045
"1109",22772.4357301996
"1110",25275.6883715253
"1111",35006.9883080903
"1112",40383.9986297013
"1113",22716.4566764486
"1114",39536.5100008449
"1115",21081.048674961
"1116",20900.724178091
"1117",37921.8685643672
"1118",28438.7144279536
"1119",28173.1606327634
"1120",30269.9307410363
"1121",43791.9677840786
"1122",25730.2617164223
"1123",39582.280375289
"1124",46276.4854491491
"1125",36470.6051514774
"1126",23296.4883847864
"1127",36355.1733503977
"1128",15643.5898143892
"1129",25492.1563773362
"1130",20861.1287263068
"1131",29070.970839786
"1132",17803.9187209264
"1133",28549.8067673706
"1134",30549.6253990036
"1135",25617.2174918385
"1136",31362.2845680015
"1137",36058.1717227603
"1138",28196.8340252087
"1139",20852.5764849754
"1140",37218.9860784643
"1141",32089.971763362
"1142",50348.661124236
"1143",31437.3839171802
"1144",26485.3126050245
"1145",28037.1771345423
"1146",51885.7483602719
"1147",18464.1406069593
"1148",23120.833056328
"1149",31585.2960712383
"1150",33567.8462655749
"1151",27436.0251061067
"1152",35876.9654818191
"1153",32961.1984541524
"1154",31906.4531917076
"1155",37069.6765193871
"1156",23349.880978161
"1157",25213.1545848055
"1158",26238.0547345869
"1159",33792.6275426159
"1160",31309.5228910713
"1161",28092.9729472115
"1162",24180.3673370993
"1163",34327.8508460176
"1164",31516.5166188278
"1165",21217.1798504937
"1166",28778.9430032583
"1167",32935.183492629
"1168",38493.7107686826
"1169",31952.3824593578
"1170",22775.6338764059
"1171",32382.6766867377
"1172",27435.0604948493
"1173",32675.5803210308
"1174",26169.5142162663
"1175",26620.8454125396
"1176",21468.9100137932
"1177",36167.0468397472
"1178",34366.0524793898
"1179",35103.3746467824
"1180",24375.5378466481
"1181",37004.6194037437
"1182",33095.2505932538
"1183",46954.6092883801
"1184",39697.9001777414
"1185",32080.7640050984
"1186",38525.0504054185
"1187",29370.028876535
"1188",23431.6806758124
"1189",37426.673787514
"1190",34983.1538536955
"1191",45440.6000963875
"1192",27340.1236818807
"1193",43759.1160213711
"1194",29092.4683499581
"1195",30877.8986682182
"1196",28484.8077212948
"1197",30350.1633118578
"1198",32046.7108596299
"1199",39929.5299081652
"1200",26686.1387108121
"1201",21807.1949736798
"1202",24217.7375158231
"1203",31427.7889521526
"1204",35390.8392980951
"1205",29079.8375461682
"1206",26013.005853159
"1207",35487.4330458774
"1208",22722.7944480424
"1209",28483.8171174991
"1210",44347.1044768184
"1211",28778.8440374346
"1212",35110.8816944759
"1213",25518.0371898562
"1214",33406.1297699587
"1215",23242.8893321921
"1216",30860.3876316315
"1217",31401.4916314361
"1218",53805.2976667477
"1219",25466.2913028679
"1220",30802.8617119206
"1221",30693.4904418004
"1222",26933.4113353025
"1223",29372.1935453086
"1224",33785.3687282344
"1225",26172.0973150833
"1226",21291.6930380505
"1227",20872.4339843106
"1228",22025.8253764193
"1229",28950.6343413365
"1230",27647.323362216
"1231",23264.5023857318
"1232",25106.2465068902
"1233",34868.4401980345
"1234",43209.5024061319
"1235",27371.5548769292
"1236",20765.8675496952
"1237",25775.8140238481
"1238",36368.8112623958
"1239",31833.1611573083
"1240",30713.9668680941
"1241",41620.2816724604
"1242",39357.5136638835
"1243",27590.0664771619
"1244",24658.1768021095
"1245",23596.1754356354
"1246",41271.4995330212
"1247",47105.4254468811
"1248",30752.1739520325
"1249",30802.6200526198
"1250",24367.347287698
"1251",32168.1035588019
"1252",25079.6774769429
"1253",34115.4221430666
"1254",29872.7241308706
"1255",33521.5220174283
"1256",39181.5361996621
"1257",33407.5527131445
"1258",28876.8199792131
"1259",50089.6352666985
