Index,Reference Paper,Year,Country,Type,Depth,Surface Area,Flow,Hydraulic Residence Time (tau),L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR,,,,,,,,,,,,,
29,,,Denmark,Lake,2,,-9.99E+02,5.11E+01,,,1.61E-02,2.49E-02,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Denmark,Lake,5.6,,-9.99E+02,1.79E+02,,,4.72E-03,7.41E-03,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Denmark,Lake,3.1,,-9.99E+02,2.01E+02,,,3.16E-03,4.42E-03,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Denmark,Lake,2.9,,-9.99E+02,2.52E+02,,,5.05E-03,1.02E-02,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Denmark,Lake,1.2,,-9.99E+02,7.30E+00,,,1.60E-02,1.69E-02,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Denmark,Lake,4,,-9.99E+02,1.46E+01,,,8.76E-03,9.34E-03,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Denmark,Lake,1.2,,-9.99E+02,1.46E+01,,,1.44E-02,1.61E-02,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Denmark,Lake,1,,-9.99E+02,1.83E+01,,,1.50E-02,1.73E-02,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Denmark,Lake,0.9,,-9.99E+02,1.83E+01,,,1.29E-02,1.46E-02,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Denmark,Lake,1.2,,-9.99E+02,2.92E+01,,,1.64E-02,2.10E-02,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Denmark,Lake,2.7,,-9.99E+02,6.21E+01,,,5.52E-03,6.58E-03,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Denmark,Lake,4.6,,-9.99E+02,9.13E+01,,,7.38E-03,1.05E-02,,,,,,,,,,,,,,,,,,,,,,,,,
41,Noges et al.,1998,Estonia,Lake,2.5,2.72E+08,6.57E+08,4.00E+02,5.71E+03,1.63E+03,3.13E-03,6.25E-03,4.08E+03,8.16E+02,4.02E-03,1.00E-02,1.09E+02,2.45E+01,3.73E-03,8.61E-03,8.98E+01,8.16E+00,5.99E-03,2.50E-02,,,,,,,,,,,,,
42,,,Estonia,Lake,2.6,2.76E+08,1.33E+09,5.52E+02,1.41E+04,1.10E+03,4.61E-03,2.13E-02,1.08E+04,5.52E+02,5.38E-03,3.35E-02,5.47E+02,3.31E+01,5.08E-03,2.81E-02,4.39E+02,8.28E+00,7.19E-03,9.42E-02,,,,,,,,,,,,,
43,,,Estonia,Lake,3.2,2.90E+08,1.50E+09,5.46E+02,2.41E+04,4.06E+03,3.26E-03,9.02E-03,1.25E+04,1.74E+03,3.60E-03,1.13E-02,3.43E+02,7.84E+01,2.70E-03,6.17E-03,2.29E+02,8.71E+00,5.99E-03,4.64E-02,,,,,,,,,,,,,
44,,,Estonia,Lake,3.3,3.00E+08,1.22E+09,3.30E+02,1.02E+04,5.99E+03,1.61E-03,2.12E-03,5.69E+03,2.40E+03,2.62E-03,4.17E-03,1.56E+02,1.17E+02,8.73E-04,1.01E-03,8.09E+01,2.40E+01,3.69E-03,7.20E-03,,,,,,,,,,,,,
45,,,Estonia,Lake,3.3,3.02E+08,1.42E+09,2.77E+02,8.46E+03,3.93E+03,2.77E-03,4.17E-03,5.44E+03,1.81E+03,3.97E-03,7.22E-03,5.17E+02,2.18E+02,3.12E-03,4.96E-03,2.66E+02,3.63E+01,7.19E-03,2.29E-02,,,,,,,,,,,,,
