Index,Reference Paper,Year,Country,Type,Depth,Surface Area,Flow,Hydraulic Residence Time (tau),L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR,,,,,,,,,,,,,
133,,,France,Reservoir,,,2.75E+08,1.90E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,France,Reservoir,,,4.60E+08,1.10E+02,,,,,7.21E+03,4.47E+03,2.52E-03,3.23E-03,4.93E+01,2.74E+01,3.10E-03,4.21E-03,2.63E+01,9.32E+00,5.47E-03,9.61E-03,,,,,,,,,,,,,
135,,,France,Reservoir,,,4.60E+08,1.06E+02,,,,,5.82E+03,5.00E+03,1.38E-03,1.49E-03,4.93E+01,3.29E+01,3.70E-03,4.57E-03,3.21E+01,1.15E+01,9.36E-03,1.63E-02,,,,,,,,,,,,,
136,James and Barko,1997,USA,Reservoir,3.2,6.00E+05,1.40E+07,5.00E+01,,,,,,,,,2.83E+01,1.56E+01,1.19E-02,1.63E-02,,,,,,,,,,,,,,,,,
137,,,Turkey,Reservoir,,,-9.99E+02,1.21E+02,,,,,,,,,,,1.77E-02,6.18E-02,,,,,,,,,,,,,,,,,
138,,,Puerto Rico,Reservoir,,,-9.99E+02,5.00E+01,,,,,,,,,,,1.85E-02,3.04E-02,,,,,,,,,,,,,,,,,
139,,,Puerto Rico,Reservoir,,,-9.99E+02,8.34E+01,,,,,,,,,,,1.33E-02,2.45E-02,,,,,,,,,,,,,,,,,
140,Hart,2002,Indonesia,Reservoir,99,5.60E+07,3.35E+08,8.40E+01,1.68E+04,7.62E+03,9.43E-03,1.44E-02,,,,,4.16E+03,1.38E+03,1.33E-02,2.43E-02,,,,,,,,,,,,,,,,,
141,LaBaugh ,1984,USA,Reservoir,27.1,6.55E+06,1.07E+08,9.46E+01,,,,,,,,,1.16E+01,7.67E+00,4.97E-03,6.16E-03,,,,,,,,,,,,,,,,,
142,,,USA,Reservoir,16.6,1.68E+06,1.72E+08,3.54E+02,,,,,,,,,3.42E+00,3.01E+00,1.35E-03,1.44E-03,,,,,,,,,,,,,,,,,
143,Devito et al ,1989,Canada,NWSF,1,3.81E+04,3.01E+05,4.78E+01,3.56E-01,3.40E-01,9.42E-04,9.63E-04,8.94E-02,4.12E-02,1.62E-02,2.44E-02,1.51E-02,1.41E-02,1.50E-03,1.55E-03,,,,,,,,,,,,,,,,,
144,,,Canada,NWSF,3.2,8.30E+03,9.75E+04,1.02E+02,7.96E-02,8.96E-02,-1.17E-03,-1.10E-03,3.05E-02,1.67E-02,5.93E-03,8.13E-03,1.50E-03,2.16E-03,-3.59E-03,-3.01E-03,,,,,,,,,,,,,,,,,
145,,,Canada,NWUF,1,2.12E+04,1.21E+05,6.66E+01,8.77E-02,8.71E-02,9.98E-05,1.00E-04,3.10E-02,9.18E-03,1.83E-02,3.56E-02,2.44E-03,2.44E-03,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,
146,,,Canada,NWUF,1,1.13E+04,1.36E+05,3.09E+01,1.12E-01,1.13E-01,-8.89E-05,-8.88E-05,4.61E-02,2.63E-02,1.81E-02,2.43E-02,3.44E-03,2.91E-03,5.37E-03,5.85E-03,,,,,,,,,,,,,,,,,
148,,,Canada,NWUF,1,1.00E+03,3.44E+04,1.07E+01,2.88E-02,2.72E-02,5.12E-03,5.26E-03,9.78E-03,7.40E-03,2.61E-02,3.01E-02,8.14E-04,6.77E-04,1.72E-02,1.89E-02,,,,,,,,,,,,,,,,,
148,Leonardson et al,1994,Sweden,NWUF,3,6.00E+04,1.48E+06,4.45E+01,7.89E+00,7.89E+00,0.00E+00,0.00E+00,5.33E+00,3.85E+00,7.31E-03,8.64E-03,,,,,,,,,,,,,,,,,,,,,
149,,,Sweden,NWUF,3,5.00E+04,1.86E+06,2.94E+01,9.62E+00,8.38E+00,4.66E-03,5.00E-03,6.90E+00,4.44E+00,1.50E-02,1.89E-02,,,,,,,,,,,,,,,,,,,,,
150,,,Sweden,NWUF,0.6,4.00E+04,3.36E+05,2.61E+01,2.96E+00,2.47E+00,6.99E-03,7.67E-03,2.47E+00,5.48E-02,1.46E-01,1.69E+00,,,,,,,,,,,,,,,,,,,,,
151,Koskiaho et al ,2003,Finland,CWSF,2,6.00E+03,-9.99E+02,1.63E+00,1.28E+00,8.17E-01,2.76E-01,3.48E-01,1.03E+00,6.72E-01,2.65E-01,3.31E-01,6.36E-02,2.42E-02,5.95E-01,1.00E+00,7.31E-03,5.33E-03,1.94E-01,2.28E-01,,,,,,,,,,,,,
152,,,Finland,CWSF,1.5,4.50E+03,4.82E+06,2.50E-01,,,,,,,,,1.36E-01,1.10E-01,8.43E-01,9.38E-01,,,,,,,,,,,,,,,,,
153,,,Finland,CWSF,,6.00E+05,-9.99E+02,2.40E+01,8.52E+01,7.58E+01,4.86E-03,5.15E-03,5.64E+01,4.85E+01,6.28E-03,6.78E-03,2.08E+00,1.77E+00,6.77E-03,7.35E-03,3.29E-01,2.79E-01,6.77E-03,7.35E-03,,,,,,,,,,,,,
154,Drizo et al ,1999,UK,CWUF,0.5,5.00E-01,3.65E+00,5.00E+00,,,6.00E-02,,,,,,,,7.50E-02,,,,,,,,,,,,,,,,,,
155,Spieles ,1999,USA,CWSF,,3.00E+04,9.90E+05,3.20E+00,3.69E+01,2.22E+01,1.59E-01,2.07E-01,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,USA,CWSF,,1.00E+04,3.66E+05,2.70E+00,4.60E+00,3.00E+00,1.58E-01,1.98E-01,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,USA,CWSF,,1.00E+04,3.45E+05,2.80E+00,4.70E+00,2.90E+00,1.72E-01,2.22E-01,,,,,,,,,,,,,,,,,,,,,,,,,
158,Phipps et al ,1994,USA,CWSF,0.61,2.40E+04,4.54E+06,1.20E+01,1.83E+00,8.48E-01,6.40E-02,9.63E-02,1.42E+00,3.09E-01,1.27E-01,3.00E-01,,,,,,,,,,,,,,,,,,,,,
159,,,USA,CWSF,0.72,2.40E+04,6.61E+05,9.50E+01,2.70E-01,6.58E-02,1.49E-02,3.26E-02,2.10E-01,1.32E-02,2.92E-02,1.58E-01,,,,,,,,,,,,,,,,,,,,,
160,,,USA,CWSF,0.69,1.90E+04,3.55E+06,1.30E+01,1.36E+00,5.57E-01,6.89E-02,1.11E-01,1.05E+00,1.67E-01,1.42E-01,4.09E-01,,,,,,,,,,,,,,,,,,,,,
161,Tonderski et al. ,2005,Sweden,CWSF,,7.50E+03,2.85E+03,2.60E+00,,,,,,,,,1.02E-03,8.59E-04,6.43E-02,6.99E-02,,,,,,,,,,,,,,,,,
161.1,,,Sweden,CWSF,,1.00E+04,2.10E+03,3.60E+00,,,,,,,,,4.03E-04,4.03E-04,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,
162,,,Sweden,CWSF,,6.50E+03,1.17E+04,6.00E-01,,,,,,,,,4.17E-03,2.24E-03,1.03E+00,1.43E+00,,,,,,,,,,,,,,,,,
163,Kadlec ,2008,USA,CWSF,0.49,1.34E+04,4.49E+05,4.07E+00,7.51E+00,2.86E+00,2.37E-01,3.99E-01,3.67E+00,1.50E+00,2.19E-01,3.55E-01,,,,,,,,,,,,,,,,,,,,,
164,,,USA,CWSF,0.46,1.34E+04,4.81E+05,4.72E+00,9.86E+00,4.96E+00,1.46E-01,2.09E-01,5.72E+00,1.28E+00,3.17E-01,7.35E-01,,,,,,,,,,,,,,,,,,,,,
165,,,USA,CWSF,0.49,1.28E+04,2.60E+05,4.24E+00,4.45E+00,1.51E+00,2.55E-01,4.60E-01,2.18E+00,7.54E-01,2.50E-01,4.45E-01,,,,,,,,,,,,,,,,,,,,,
166,,,USA,CWSF,0.51,1.28E+04,4.20E+05,6.09E+00,1.08E+01,3.06E+00,2.08E-01,4.17E-01,6.29E+00,1.13E+00,2.81E-01,7.46E-01,,,,,,,,,,,,,,,,,,,,,
167,,,USA,CWSF,0.44,9.20E+03,1.03E+06,3.60E+00,1.39E+01,1.01E+01,8.83E-02,1.04E-01,6.95E+00,5.04E+00,8.93E-02,1.05E-01,,,,,,,,,,,,,,,,,,,,,
168,,,USA,CWSF,0.7,9.20E+03,1.68E+06,1.45E+00,4.02E+01,1.79E+01,5.59E-01,8.61E-01,2.39E+01,1.15E+01,5.04E-01,7.42E-01,,,,,,,,,,,,,,,,,,,,,
169,,,USA,CWSF,0.43,7.80E+03,4.52E+05,3.42E+00,7.11E+00,6.17E+00,4.16E-02,4.47E-02,3.57E+00,1.31E+00,2.92E-01,5.02E-01,,,,,,,,,,,,,,,,,,,,,
170,,,USA,CWSF,0.52,7.80E+03,6.25E+05,2.44E+00,1.46E+01,5.23E+00,4.20E-01,7.32E-01,8.69E+00,3.06E+00,4.27E-01,7.52E-01,,,,,,,,,,,,,,,,,,,,,
171,Zhang ,2011,China,CWSF,,,4.38E+04,9.10E+00,1.04E+01,7.20E-01,2.94E-01,1.48E+00,5.52E-01,1.98E-02,3.66E-01,2.95E+00,,,,,,,,,,,,,,,,,,,,,
172,Arheimer et al ,2002,Sweden,CWSF,1,4.00E+03,1.45E+06,1.10E+00,3.45E+01,2.97E+01,1.35E-01,1.45E-01,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,Sweden,CWSF,1.5,1.00E+04,8.72E+06,6.00E-01,1.31E+02,1.31E+02,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,Sweden,CWSF,1.5,1.00E+03,6.10E+05,8.00E-01,2.52E+01,2.47E+01,2.51E-02,2.53E-02,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,Sweden,CWSF,2.1,3.00E+03,5.12E+05,5.00E+00,2.40E+01,2.16E+01,2.09E-02,2.21E-02,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,Sweden,CWSF,0.8,8.00E+03,8.82E+05,2.50E+00,2.01E+01,1.62E+01,8.57E-02,9.55E-02,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,Sweden,CWSF,1,3.00E+04,2.81E+06,3.90E+00,3.54E+01,2.69E+01,7.01E-02,8.06E-02,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,Sweden,CWSF,0.7,4.00E+03,9.97E+06,1.00E-01,2.13E+02,2.21E+02,-3.77E-01,-3.70E-01,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,Sweden,CWSF,1.5,5.00E+03,6.79E+05,3.60E+00,1.40E+01,1.28E+01,2.32E-02,2.42E-02,,,,,,,,,,,,,,,,,,,,,,,,,
180,Headley et al. ,2001,Australia,CWUF,,,-9.99E+02,3.50E+00,,,5.24E-01,1.50E+00,,,,,,,3.00E-01,5.31E-01,,,,,,,,,,,,,,,,,
181,Huang et al ,2000,USA,CWUF,0.42,3.74E-01,5.52E+00,2.60E+00,7.30E-04,4.87E-04,1.56E-01,1.92E-01,4.08E-06,1.97E-06,2.81E-01,4.14E-01,,,,,,,,,,,,,,,,,,,,,
182,,,USA,CWUF,0.42,3.74E-01,3.68E+00,3.90E+00,4.87E-04,3.08E-04,1.17E-01,1.48E-01,2.72E-06,1.31E-06,1.87E-01,2.76E-01,,,,,,,,,,,,,,,,,,,,,
183,,,USA,CWUF,0.42,3.74E-01,2.43E+00,5.90E+00,3.22E-04,1.75E-04,1.04E-01,1.43E-01,1.80E-06,8.66E-07,1.24E-01,1.83E-01,,,,,,,,,,,,,,,,,,,,,
184,,,USA,CWUF,0.45,1.30E+01,2.13E+02,4.00E+00,3.20E-02,1.72E-02,1.55E-01,2.14E-01,1.81E-04,1.58E-04,3.45E-02,3.70E-02,,,,,,,,,,,,,,,,,,,,,
185,,,USA,CWUF,0.45,1.30E+01,1.07E+02,8.00E+00,1.60E-02,7.24E-03,9.91E-02,1.51E-01,9.05E-05,7.59E-05,2.20E-02,2.40E-02,,,,,,,,,,,,,,,,,,,,,
186,,,USA,CWUF,0.45,1.30E+01,7.11E+01,1.20E+01,1.07E-02,3.47E-03,9.37E-02,1.73E-01,6.04E-05,4.28E-05,2.86E-02,3.41E-02,,,,,,,,,,,,,,,,,,,,,
187,Bulc ,2006,Slovenia,CWUF,0.8,3.52E+02,6.28E+02,7.33E+00,8.56E-01,4.69E-01,8.22E-02,1.13E-01,3.15E-03,4.37E-02,-3.59E-01,-1.27E-01,3.96E-03,1.72E-03,1.14E-01,1.77E-01,,,,,,,,,,,,,,,,,
188,Mhlum ,1999,Norway,CWUF,0.9,1.06E+02,7.30E+02,1.40E+01,,,7.50E-02,1.33E-01,,,,,,,2.79E-01,3.50E+00,,,,,,,,,,,,,,,,,
189,,,Norway,CWUF,0.75,1.35E+02,7.30E+02,1.40E+01,,,7.10E-02,1.22E-01,,,,,,,2.01E-01,1.12E+00,,,,,,,,,,,,,,,,,
190,,,Norway,CWUF,0.75,1.35E+02,7.30E+02,1.40E+01,,,1.22E-01,3.21E-01,,,,,,,1.49E-01,5.00E-01,,,,,,,,,,,,,,,,,
191,Korkusuz ,2005,Turkey,CWUF,0.6,3.00E+01,1.10E+03,6.00E+00,1.04E-01,5.56E-02,1.04E-01,1.45E-01,,,,,1.84E-02,9.87E-03,1.04E-01,1.44E-01,1.00E-02,7.08E-03,5.79E-02,6.92E-02,,,,,,,,,,,,,
192,,,Turkey,CWUF,0.6,3.00E+01,1.10E+03,6.00E+00,1.04E-01,6.27E-02,8.45E-02,1.10E-01,,,,,1.84E-02,1.81E-02,3.01E-03,3.04E-03,1.00E-02,6.96E-03,6.07E-02,7.33E-02,,,,,,,,,,,,,
193,Belmont et al ,2004,Mexico,CWUF,0.6,1.56E+01,1.02E+03,2.30E+00,1.96E-01,1.86E-01,2.23E-02,2.29E-02,3.14E-02,1.85E-02,2.30E-01,3.03E-01,,,,,,,,,,,,,,,,,,,,,
194,,,Mexico,CWUF,0.6,1.56E+01,1.02E+03,2.30E+00,1.96E-01,1.77E-01,4.51E-02,4.75E-02,3.14E-02,1.82E-02,2.37E-01,3.14E-01,,,,,,,,,,,,,,,,,,,,,
195,Yalcuk and Ugurlu ,2008,Turkey,CWUF,0.265,5.00E-01,3.65E+00,1.10E+01,,,,,,,,,,,,,,,6.79E-02,1.01E-01,,,,,,,,,,,,,
196,,,Turkey,CWUF,0.4,5.00E-01,3.65E+00,8.00E+00,,,,,,,,,,,,,,,9.15E-02,1.35E-01,,,,,,,,,,,,,
197,,,Turkey,CWUF,0.4,5.00E-01,3.65E+00,1.25E+01,,,,,,,,,,,,,,,5.03E-02,7.01E-02,,,,,,,,,,,,,
198,Nahlik and Mitsch ,2006,Costa Rica,CWSF,1.9,1.74E+03,2.01E+04,6.00E+01,8.71E-01,8.25E-02,3.93E-02,1.59E-01,3.34E-03,1.10E-02,-1.98E-02,-1.16E-02,2.77E-02,2.38E-03,4.09E-02,1.77E-01,,,,,,,,,,,,,,,,,
199,,,Costa Rica,CWSF,3.8,1.34E+03,6.86E+04,2.70E+01,5.54E-02,1.25E-01,-3.01E-02,-2.06E-02,4.04E-03,7.34E-03,-2.21E-02,-1.67E-02,1.84E-03,1.10E-03,1.89E-02,2.47E-02,,,,,,,,,,,,,,,,,
200,,,Costa Rica,CWSF,0.8,6.49E+02,1.33E+05,1.00E+00,1.31E-01,2.64E-01,-6.99E-01,-5.03E-01,2.08E-02,2.31E-03,2.20E+00,8.00E+00,2.38E-02,4.80E-03,1.60E+00,3.96E+00,,,,,,,,,,,,,,,,,
201,,,Costa Rica,CWSF,1.2,9.85E+02,1.42E+04,3.00E+01,3.59E-02,1.75E-02,2.39E-02,3.49E-02,8.91E-03,1.35E-03,6.29E-02,1.87E-01,4.86E-03,8.10E-04,5.97E-02,1.67E-01,,,,,,,,,,,,,,,,,
202,,,Costa Rica,CWSF,0.4,8.90E+01,1.46E+04,9.00E-01,4.73E-02,8.49E-02,-6.50E-01,-4.92E-01,7.53E-03,1.34E-02,-6.43E-01,-4.88E-01,4.15E-04,3.90E-04,6.74E-02,6.94E-02,,,,,,,,,,,,,,,,,
203,,,USA,CWSF,,,-9.99E+02,1.40E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Nivala et al ,2006,USA,CWUF,,,-9.99E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Wu ,2011,China,CWSF,0.5,3.51E+00,-9.99E+02,1.00E+01,,,1.13E-01,2.09E-01,,,,,1.56E+00,5.20E-01,1.10E-01,2.00E-01,,,,,,,,,,,,,,,,,
206,Billore et al ,1999,India,CWUF,0.85,4.18E+01,4.82E+03,1.40E+00,7.07E-01,2.72E-01,6.82E-01,1.14E+00,3.97E-02,3.67E-02,5.56E-02,5.79E-02,,,,,7.37E-02,2.91E-02,6.62E-01,1.09E+00,,,,,,,,,,,,,
207,Masi et al ,2006,Italy,CWUF,0.8,3.40E+02,2.50E+01,3.00E+00,3.63E-03,1.44E-03,3.09E-01,5.08E-01,1.37E-04,1.03E-03,-6.74E-01,-2.89E-01,4.75E-03,2.79E-04,9.44E-01,5.33E+00,,,,,,,,,,,,,,,,,
208,Cameron et al ,2003,Canada,CWSF,,,-9.99E+02,1.50E+01,,,3.55E-02,4.69E-02,,,,,3.30E-01,5.00E-02,1.26E-01,3.73E-01,,,1.00E-01,2.33E-01,,,,,,,,,,,,,
209,Mantovi et al ,2003,Italy,CWUF,1,7.20E+01,2.30E+03,1.00E+01,4.08E-01,2.10E-01,6.64E-02,9.43E-02,,,,,8.06E-02,3.15E-02,9.40E-02,1.56E-01,,,,,,,,,,,,,,,,,
210,El Hamouri et al ,2007,Morocco,CWUF,,,3.27E+03,9.00E+00,5.70E-01,4.45E-01,2.75E-02,3.11E-02,,,,,1.05E-01,7.56E-02,3.60E-02,4.25E-02,5.70E-02,3.36E-02,5.87E-02,7.74E-02,,,,,,,,,,,,,
211,Wu et al ,2008,Hong Kong,CWUF,,,-9.99E+02,5.00E+00,,,5.75E-02,6.67E-02,,,,,,,2.87E-02,3.08E-02,,,4.80E-03,4.86E-03,,,,,,,,,,,,,
212,,,Hong Kong,CWUF,,,-9.99E+02,1.00E+01,,,2.35E-02,2.65E-02,,,,,,,8.52E-03,8.90E-03,,,2.51E-03,2.54E-03,,,,,,,,,,,,,
213,Zhou and Hosomi ,2007,Japan,CWUF,0.6,3.00E+01,2.19E+03,1.41E+00,1.62E-02,1.11E-02,2.68E-01,3.25E-01,9.03E-03,5.34E-03,3.73E-01,4.90E-01,,,,,,,,,,,,,,,,,,,,,
214,Dierberg et al ,2002,USA,CWSF,1,3.76E+00,7.00E+02,1.50E+00,,,,,1.46E-03,4.30E-04,8.18E-01,1.61E+00,2.05E-01,9.97E-02,4.81E-01,7.05E-01,1.07E-01,1.73E-02,1.22E+00,3.48E+00,,,,,,,,,,,,,
215,,,USA,CWSF,1,3.76E-01,3.02E+01,3.50E+00,,,,,6.32E-05,1.49E-06,1.07E+00,1.18E+01,8.85E-03,2.40E-03,3.73E-01,7.68E-01,4.63E-03,2.48E-04,8.36E-01,5.05E+00,,,,,,,,,,,,,
216,,,USA,CWSF,1,3.76E-01,1.51E+01,7.00E+00,,,,,3.16E-05,7.44E-07,5.35E-01,5.92E+00,4.43E-03,9.51E-04,2.20E-01,5.22E-01,2.32E-03,8.27E-05,4.76E-01,3.86E+00,,,,,,,,,,,,,
217,Sakadevan ,1999,Australia,CWSF,0.5,6.00E+02,5.48E+03,5.00E+00,5.31E-01,3.92E-01,6.10E-02,7.13E-02,,,,,1.23E-01,1.10E-01,2.28E-02,2.41E-02,,,,,,,,,,,,,,,,,
218,,,Australia,CWSF,0.2,6.00E+02,2.19E+03,5.00E+00,2.14E-01,1.27E-01,1.04E-01,1.37E-01,,,,,4.93E-02,4.26E-02,2.91E-02,3.13E-02,,,,,,,,,,,,,,,,,
219,,,Australia,CWSF,0.2,6.00E+02,2.19E+03,5.00E+00,2.00E-01,1.16E-01,1.08E-01,1.43E-01,,,,,2.15E-02,1.08E-02,1.38E-01,1.98E-01,,,,,,,,,,,,,,,,,
220,,,Australia,CWSF,0.2,6.00E+02,7.30E+02,1.50E+01,6.66E-02,1.50E-02,9.94E-02,2.29E-01,,,,,6.90E-03,3.60E-03,4.34E-02,6.11E-02,,,,,,,,,,,,,,,,,
221,,,Australia,CWSF,0.2,6.00E+02,7.30E+02,1.50E+01,7.04E-02,1.62E-02,9.79E-02,2.23E-01,,,,,1.65E-02,1.28E-02,1.70E-02,1.94E-02,,,,,,,,,,,,,,,,,
222,Akratos ,2007,Greece,CWUF,0.45,2.25E+00,-9.99E+02,6.00E+00,,,,,,,7.89E-02,1.01E-01,,,1.03E-02,1.06E-02,,,2.83E-02,3.08E-02,,,,,,,,,,,,,
223,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,6.00E+00,,,,,,,6.45E-02,7.88E-02,,,1.30E-02,1.35E-02,,,1.89E-02,2.00E-02,,,,,,,,,,,,,
224,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,6.00E+00,,,,,,,5.41E-02,6.39E-02,,,4.62E-02,5.32E-02,,,4.55E-02,5.23E-02,,,,,,,,,,,,,
225,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,6.00E+00,,,,,,,1.95E-01,3.69E-01,,,1.01E-01,1.40E-01,,,1.32E-01,2.00E-01,,,,,,,,,,,,,
226,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,6.00E+00,,,,,,,1.02E-01,1.40E-01,,,1.03E-02,1.06E-02,,,1.19E-02,1.24E-02,,,,,,,,,,,,,
227,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,8.00E+00,,,,,,,8.66E-02,1.25E-01,,,4.71E-02,5.72E-02,,,4.73E-02,5.75E-02,,,,,,,,,,,,,
228,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,8.00E+00,,,,,,,1.65E-02,1.77E-02,,,1.08E-02,1.13E-02,,,-3.09E-03,-3.05E-03,,,,,,,,,,,,,
229,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,8.00E+00,,,,,,,3.51E-02,4.06E-02,,,4.51E-02,5.43E-02,,,4.49E-02,5.41E-02,,,,,,,,,,,,,
230,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,8.00E+00,,,,,,,1.61E-01,3.30E-01,,,1.43E-01,2.68E-01,,,2.23E-01,6.19E-01,,,,,,,,,,,,,
231,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,8.00E+00,,,,,,,8.42E-02,1.20E-01,,,5.52E-02,6.94E-02,,,7.45E-02,1.02E-01,,,,,,,,,,,,,
232,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,1.40E+01,,,,,,,5.47E-02,8.22E-02,,,,,,,8.07E-02,1.50E-01,,,,,,,,,,,,,
233,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,1.40E+01,,,,,,,4.13E-02,5.59E-02,,,,,,,4.21E-02,5.73E-02,,,,,,,,,,,,,
234,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,1.40E+01,,,,,,,3.61E-02,4.70E-02,,,,,,,4.78E-02,6.81E-02,,,,,,,,,,,,,
235,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,1.40E+01,,,,,,,8.97E-02,1.79E-01,,,,,,,1.14E-01,2.82E-01,,,,,,,,,,,,,
236,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,1.40E+01,,,,,,,6.86E-02,1.15E-01,,,,,,,6.20E-02,9.86E-02,,,,,,,,,,,,,
237,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,2.00E+01,,,,,,,9.13E-02,2.61E-01,,,7.31E-02,1.66E-01,,,7.57E-02,1.77E-01,,,,,,,,,,,,,
238,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,2.00E+01,,,,,,,3.97E-02,6.06E-02,,,2.76E-02,3.68E-02,,,3.33E-02,4.73E-02,,,,,,,,,,,,,
239,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,2.00E+01,,,,,,,2.60E-02,3.42E-02,,,2.65E-02,3.49E-02,,,2.74E-02,3.65E-02,,,,,,,,,,,,,
240,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,2.00E+01,,,,,,,8.49E-02,2.23E-01,,,1.10E-01,4.00E-01,,,1.26E-01,5.75E-01,,,,,,,,,,,,,
241,,,Greece,CWUF,0.45,2.25E+00,-9.99E+02,2.00E+01,,,,,,,7.59E-02,1.78E-01,,,5.05E-02,8.74E-02,,,5.51E-02,1.01E-01,,,,,,,,,,,,,
242,Kotti ,2010,Greece,CWSF,0.45,2.89E+00,-9.99E+02,6.00E+00,,,1.20E-01,1.76E-01,,,,,,,3.87E-02,4.35E-02,,,3.03E-02,3.32E-02,,,,,,,,,,,,,
243,,,Greece,CWSF,0.45,2.89E+00,-9.99E+02,8.00E+00,,,8.66E-02,1.25E-01,,,,,,,6.22E-02,8.06E-02,,,7.73E-02,1.07E-01,,,,,,,,,,,,,
244,,,Greece,CWSF,0.45,2.89E+00,-9.99E+02,1.40E+01,,,8.18E-02,1.53E-01,,,,,,,6.21E-02,9.90E-02,,,6.62E-02,1.09E-01,,,,,,,,,,,,,
245,,,Greece,CWSF,0.45,2.89E+00,-9.99E+02,2.00E+01,,,6.24E-02,1.24E-01,,,,,,,5.05E-02,8.74E-02,,,5.76E-02,1.08E-01,,,,,,,,,,,,,
246,Reinhardt et al ,2005,Switzerland,CWSF,0.6,2.35E+03,7.62E+04,4.00E+00,,,,,,,,,3.01E-02,2.30E-02,6.66E-02,7.63E-02,1.87E-02,9.10E-03,1.80E-01,2.64E-01,,,,,,,,,,,,,
247,Vohla et al ,2006,Estonia,CWUF,1,1.56E+02,-9.99E+02,2.00E+00,,,,,,,,,,,6.19E-01,1.22E+00,,,,,,,,,,,,,,,,,
248,Reilly et al ,2000,USA,CWSF,0.55,2.50E+05,1.80E+07,2.80E+00,,,,,3.11E+02,6.10E+01,5.82E-01,1.46E+00,,,,,,,,,,,,,,,,,,,,,
249,,,USA,CWSF,0.55,2.50E+05,2.68E+07,1.80E+00,,,,,6.73E+02,5.20E+02,1.43E-01,1.63E-01,,,,,,,,,,,,,,,,,,,,,
250,,,USA,CWSF,0.52,1.90E+05,4.42E+07,1.10E+00,,,,,1.09E+03,9.38E+02,1.38E-01,1.49E-01,,,,,,,,,,,,,,,,,,,,,
251,,,USA,CWSF,0.24,2.10E+05,1.80E+07,3.10E+00,,,,,2.54E+01,5.04E+00,5.22E-01,1.30E+00,,,,,,,,,,,,,,,,,,,,,
252,,,USA,CWSF,0.24,2.10E+05,2.68E+07,1.80E+00,,,,,1.88E+02,8.61E+01,4.32E-01,6.54E-01,,,,,,,,,,,,,,,,,,,,,
253,,,USA,CWSF,0.24,2.10E+05,4.42E+07,1.00E+00,,,,,4.27E+02,3.13E+02,3.11E-01,3.64E-01,,,,,,,,,,,,,,,,,,,,,
254,,,USA,CWSF,0.1,1.40E+05,1.80E+07,9.00E-01,,,,,8.40E-01,2.80E-01,1.22E+00,2.22E+00,,,,,,,,,,,,,,,,,,,,,
255,,,USA,CWSF,0.1,1.40E+05,2.68E+07,7.00E-01,,,,,5.22E+01,1.01E+01,2.35E+00,5.97E+00,,,,,,,,,,,,,,,,,,,,,
256,,,USA,CWSF,0.1,1.40E+05,4.42E+07,3.00E-01,,,,,3.19E+02,1.70E+02,2.11E+00,2.95E+00,,,,,,,,,,,,,,,,,,,,,
